"name","sex","election_type","district","party","initials","position"
"Don Laureano León","0","senate","CÁCERES","PARTIDO POPULAR","PP","1"
"Doña Amparo Monroy","1","senate","CÁCERES","PARTIDO POPULAR","PP","2"
"Don Rafael Mateos","0","senate","CÁCERES","PARTIDO POPULAR","PP","3"
"Don Juan Andrés Tovar","0","senate","CÁCERES","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Doña María Luisa Gómez","1","senate","CÁCERES","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Don José Antonio Rodríguez","0","senate","CÁCERES","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Don José Luis Escaso","0","senate","CÁCERES","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Don Francisco Cabanillas","0","senate","CÁCERES","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Doña Laura Sierra","1","senate","CÁCERES","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Doña María Rosario Ávila","1","senate","CÁCERES","PODEMOS","PODEMOS","1"
"Don Lorenzo Carlos Clemente","0","senate","CÁCERES","PODEMOS","PODEMOS","2"
"Don Ricardo Carrasco","0","senate","CÁCERES","PODEMOS","PODEMOS","3"
"Doña María del Carmen Muñoz","1","senate","CÁCERES","UNIDAD POPULAR: IZQUIERDA UNIDA-UNIDAD POPULAR EN COMÚN","IU-UPeC","1"
"Don José Manuel Méndez","0","senate","CÁCERES","UNIDAD POPULAR: IZQUIERDA UNIDA-UNIDAD POPULAR EN COMÚN","IU-UPeC","2"
"Don Carlos Luengo","0","senate","CÁCERES","UNIDAD POPULAR: IZQUIERDA UNIDA-UNIDAD POPULAR EN COMÚN","IU-UPeC","3"
"Don Juan Fernando Gómez","0","senate","CÁCERES","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Doña Rocío Segador","1","senate","CÁCERES","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Don Faustino Climent","0","senate","CÁCERES","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Don Salvador Antonio de la Encina","0","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Doña Miriam Alconchel","1","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Don Juan Carlos Campo","0","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Doña Eva María Foncubierta","1","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","4"
"Don Francisco Javier Vidal","0","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","5"
"Doña Carmen Gloria Jiménez","1","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","6"
"Don Jesús Alba","0","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","7"
"Doña María Leonor Varela","1","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","8"
"Don Juan Antonio Palacios","0","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","9"
"Don Francisco Javier Cano","0","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Doña María Toledo","1","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Don Agustín Paloma","0","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Doña Ana María Castillo","1","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","4"
"Don Ernesto Navarro","0","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","5"
"Don Juan Francisco Andrades","0","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","6"
"Doña Elena María Sumariva","1","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","7"
"Don Nicolás Fuentes","0","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","8"
"Doña María del Carmen Márquez","1","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","9"
"Doña Teófila Martínez","1","congress","CÁDIZ","PARTIDO POPULAR","PP","1"
"Doña María José García-Pelayo","1","congress","CÁDIZ","PARTIDO POPULAR","PP","2"
"Don Alfonso Candón","0","congress","CÁDIZ","PARTIDO POPULAR","PP","3"
"Don Andrés Núñez","0","congress","CÁDIZ","PARTIDO POPULAR","PP","4"
"Don Bruno María García de","0","congress","CÁDIZ","PARTIDO POPULAR","PP","5"
"Doña Inmaculada Gil","1","congress","CÁDIZ","PARTIDO POPULAR","PP","6"
"Don Juan Antonio Liaño","0","congress","CÁDIZ","PARTIDO POPULAR","PP","7"
"Don Ignacio Macías","0","congress","CÁDIZ","PARTIDO POPULAR","PP","8"
"Doña María Caridad Salazar","1","congress","CÁDIZ","PARTIDO POPULAR","PP","9"
"Don Francisco José Pozo","0","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Don Hugo Cañellas","0","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Doña Noelia Guerrero","1","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Don José Francisco Carrasco","0","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","4"
"Doña Yaiza Umpiérrez","1","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","5"
"Don Roque Ortega","0","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","6"
"Doña Adelaida Arcila García de","1","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","7"
"Don Miguel Mena","0","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","8"
"Doña Isabel María Meléndez","1","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","9"
"Doña Noelia Vera","1","congress","CÁDIZ","PODEMOS","PODEMOS","1"
"Don Juan Antonio Delgado","0","congress","CÁDIZ","PODEMOS","PODEMOS","2"
"Doña Manuela Blanco","1","congress","CÁDIZ","PODEMOS","PODEMOS","3"
"Don Juan Molina","0","congress","CÁDIZ","PODEMOS","PODEMOS","4"
"Doña Inmaculada Morillo","1","congress","CÁDIZ","PODEMOS","PODEMOS","5"
"Don Miguel Ángel Pacheco","0","congress","CÁDIZ","PODEMOS","PODEMOS","6"
"Doña Inmaculada Concepción Rodríguez","1","congress","CÁDIZ","PODEMOS","PODEMOS","7"
"Doña María Luisa Blanco","1","congress","CÁDIZ","PODEMOS","PODEMOS","8"
"Don Álvaro Bernalte","0","congress","CÁDIZ","PODEMOS","PODEMOS","9"
"Don Santiago Gutiérrez","0","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","1"
"Doña Ana Fernández de","1","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","2"
"Don Ernesto Alba","0","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","3"
"Doña María José Grimaldi","1","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","4"
"Don José Carlos Luque","0","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","5"
"Doña Laura Castilla","1","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","6"
"Don Juan Antonio Ariza","0","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","7"
"Doña Sandra Haro","1","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","8"
"Don Joaquín Santander","0","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","9"
"Don Francisco González","0","senate","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Doña María Dolores Naval","1","senate","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Don Francisco Manuel Lara","0","senate","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Doña María Jesús García","1","senate","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Don Carlos Pérez","0","senate","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Don Francisco López","0","senate","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Don José Ignacio Landaluce","0","senate","CÁDIZ","PARTIDO POPULAR","PP","1"
"Doña María José de Alba","1","senate","CÁDIZ","PARTIDO POPULAR","PP","2"
"Don José Ortiz","0","senate","CÁDIZ","PARTIDO POPULAR","PP","3"
"Don Manuel Villalpando","0","senate","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Doña Amalia García","1","senate","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Doña María del Carmen Pérez","1","senate","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Doña María Emma Martín","1","senate","CÁDIZ","PODEMOS","PODEMOS","1"
"Doña Mercedes Gema Jiménez","1","senate","CÁDIZ","PODEMOS","PODEMOS","2"
"Don Anton Gilen Haidl","0","senate","CÁDIZ","PODEMOS","PODEMOS","3"
"Don Gonzalo Álias","0","senate","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","1"
"Doña Isabel María Fernández","1","senate","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","2"
"Don Pedro Jesús Carrero","0","senate","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","3"
"Doña Ana María Madrazo","1","congress","CANTABRIA","PARTIDO POPULAR","PP","1"
"Don José María Lassalle","0","congress","CANTABRIA","PARTIDO POPULAR","PP","2"
"Don Diego Movellán","0","congress","CANTABRIA","PARTIDO POPULAR","PP","3"
"Don Javier Fernández","0","congress","CANTABRIA","PARTIDO POPULAR","PP","4"
"Doña Natividad Fernández","1","congress","CANTABRIA","PARTIDO POPULAR","PP","5"
"Doña María del Puerto Gallego","1","congress","CANTABRIA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Don Ricardo Cortés","0","congress","CANTABRIA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Doña Zoraida Hijosa","1","congress","CANTABRIA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Don Gonzalo Fernández","0","congress","CANTABRIA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","4"
"Doña Inés Gutiérrez","1","congress","CANTABRIA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","5"
"Don Carlos Pracht","0","congress","CANTABRIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Doña Graciela Gómez","1","congress","CANTABRIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Don Hugo Nieto","0","congress","CANTABRIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Doña María Carmen Esteban","1","congress","CANTABRIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","4"
"Don Juan Salmerón","0","congress","CANTABRIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","5"
"Don Román San Emeterio","0","congress","CANTABRIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Doña María Asunción Puente","1","congress","CANTABRIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Doña María Isabel Cordera","1","congress","CANTABRIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Don Jesús Toribio","0","congress","CANTABRIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","4"
"Don Álvaro Martín","0","congress","CANTABRIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","5"
"Doña Rosa Ana Alonso","1","congress","CANTABRIA","PODEMOS","PODEMOS","1"
"Don Alejandro Rubén Ahumada Ávila","0","congress","CANTABRIA","PODEMOS","PODEMOS","2"
"Doña Mónica de la Parte Gregorio","1","congress","CANTABRIA","PODEMOS","PODEMOS","3"
"Don Rafael Iván Ramírez","0","congress","CANTABRIA","PODEMOS","PODEMOS","4"
"Doña Elena Brizuela","1","congress","CANTABRIA","PODEMOS","PODEMOS","5"
"Don Sergio Tamayo","0","congress","CANTABRIA","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","1"
"Doña Andrea González","1","congress","CANTABRIA","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","2"
"Don Fernando Agúndez de la","0","congress","CANTABRIA","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","3"
"Doña Dahir Elguero","1","congress","CANTABRIA","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","4"
"Don Marcos Gutiérrez","0","congress","CANTABRIA","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","5"
"Don Francisco Javier Fernández","0","senate","CANTABRIA","PARTIDO POPULAR","PP","1"
"Doña Blanca Azucena Martínez","1","senate","CANTABRIA","PARTIDO POPULAR","PP","2"
"Doña María Esther Merino","1","senate","CANTABRIA","PARTIDO POPULAR","PP","3"
"Don Miguel Ángel González","0","senate","CANTABRIA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Doña María Concepción Linaza","1","senate","CANTABRIA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Don Manuel Ceballos","0","senate","CANTABRIA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Don David Acosta","0","senate","CANTABRIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Don Carlos Javier Fernández","0","senate","CANTABRIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Doña Julia María Caballero","1","senate","CANTABRIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Doña Carmen Rosa Rotella","1","senate","CANTABRIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Doña Marta San Emeterio","1","senate","CANTABRIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Don Vicente José Bengochea","0","senate","CANTABRIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Don Kevin Botejara","0","senate","CANTABRIA","PODEMOS","PODEMOS","1"
"Doña Montserrat Obregón","1","senate","CANTABRIA","PODEMOS","PODEMOS","2"
"Doña Pilar Tueros","1","senate","CANTABRIA","PODEMOS","PODEMOS","3"
"Doña Mercedes Boix","1","senate","CANTABRIA","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","1"
"Don Alfonso Leonardo García-Oliva","0","senate","CANTABRIA","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","2"
"Doña Marta Peredo","1","senate","CANTABRIA","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","3"
"Don Artemi Vicent Rallo","0","congress","CASTELLÓN/CASTELLÓ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Doña Susana Ros","1","congress","CASTELLÓN/CASTELLÓ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Don Juan Miguel Salvador","0","congress","CASTELLÓN/CASTELLÓ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Doña Ruth Sanz","1","congress","CASTELLÓN/CASTELLÓ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","4"
"Don Salvador Hugo López","0","congress","CASTELLÓN/CASTELLÓ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","5"
"Don Miguel Barrachina","0","congress","CASTELLÓN/CASTELLÓ","PARTIDO POPULAR","PP","1"
"Don Óscar Clavell","0","congress","CASTELLÓN/CASTELLÓ","PARTIDO POPULAR","PP","2"
"Doña Ana Montagut","1","congress","CASTELLÓN/CASTELLÓ","PARTIDO POPULAR","PP","3"
"Don Alfredo Gonzalez","0","congress","CASTELLÓN/CASTELLÓ","PARTIDO POPULAR","PP","4"
"Doña Nieves Eugenio","1","congress","CASTELLÓN/CASTELLÓ","PARTIDO POPULAR","PP","5"
"Don Domingo Lorenzo","0","congress","CASTELLÓN/CASTELLÓ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Doña María Sandra Julia","1","congress","CASTELLÓN/CASTELLÓ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Don Francisco José Vicent","0","congress","CASTELLÓN/CASTELLÓ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Don Domingo José Vicent","0","congress","CASTELLÓN/CASTELLÓ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","4"
"Doña María Araceli de Moya","1","congress","CASTELLÓN/CASTELLÓ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","5"
"Don Alberto Polo","0","congress","CASTELLÓN/CASTELLÓ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Don José Bernadó","0","congress","CASTELLÓN/CASTELLÓ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Doña Paula Bernat","1","congress","CASTELLÓN/CASTELLÓ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Doña Sivia Vicente","1","congress","CASTELLÓN/CASTELLÓ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","4"
"Don Juan Emilio Adrián","0","congress","CASTELLÓN/CASTELLÓ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","5"
"Don Sebastián Bretones","0","congress","CASTELLÓN/CASTELLÓ","UNITAT POPULAR: ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMU","EUPV-UPeC","1"
"Doña Eloina Aguilella","1","congress","CASTELLÓN/CASTELLÓ","UNITAT POPULAR: ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMU","EUPV-UPeC","2"
"Don Enric Moya","0","congress","CASTELLÓN/CASTELLÓ","UNITAT POPULAR: ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMU","EUPV-UPeC","3"
"Doña Milagros María Martínez","1","congress","CASTELLÓN/CASTELLÓ","UNITAT POPULAR: ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMU","EUPV-UPeC","4"
"Don Ángel Rodríguez","0","congress","CASTELLÓN/CASTELLÓ","UNITAT POPULAR: ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMU","EUPV-UPeC","5"
"Doña Marta Sorli","1","congress","CASTELLÓN/CASTELLÓ","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","1"
"Doña Claudia Varella","1","congress","CASTELLÓN/CASTELLÓ","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","2"
"Don Álex Rodriguez","0","congress","CASTELLÓN/CASTELLÓ","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","3"
"Don Pau Sancho","0","congress","CASTELLÓN/CASTELLÓ","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","4"
"Don Santi Cortells","0","congress","CASTELLÓN/CASTELLÓ","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","5"
"Don Josep Lluis Grau","0","senate","CASTELLÓN/CASTELLÓ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Doña Rocío Ibáñez","1","senate","CASTELLÓN/CASTELLÓ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Don Benjamín Dembilio","0","senate","CASTELLÓN/CASTELLÓ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Doña Salome Pradas","1","senate","CASTELLÓN/CASTELLÓ","PARTIDO POPULAR","PP","1"
"Don Manuel Guillermo Altava","0","senate","CASTELLÓN/CASTELLÓ","PARTIDO POPULAR","PP","2"
"Doña Merche Mallol","1","senate","CASTELLÓN/CASTELLÓ","PARTIDO POPULAR","PP","3"
"Don Félix del Pozo","0","senate","CASTELLÓN/CASTELLÓ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Don Benjamín Marti","0","senate","CASTELLÓN/CASTELLÓ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Doña María del Rosario del Vigo","1","senate","CASTELLÓN/CASTELLÓ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Don Benjamín Marco","0","senate","CASTELLÓN/CASTELLÓ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Don Pedro Tejedo","0","senate","CASTELLÓN/CASTELLÓ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Doña María Teresa Monferrer","1","senate","CASTELLÓN/CASTELLÓ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Don Jordi Navarrete","0","senate","CASTELLÓN/CASTELLÓ","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","1"
"Doña Emilia Sánchez Pantoja","1","senate","CASTELLÓN/CASTELLÓ","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","2"
"Don Enric Pla","0","senate","CASTELLÓN/CASTELLÓ","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","3"
"Don Jesús Monleón","0","senate","CASTELLÓN/CASTELLÓ","UNITAT POPULAR: ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMU","EUPV-UPeC","1"
"Doña Norma Beatriz Fernández","1","senate","CASTELLÓN/CASTELLÓ","UNITAT POPULAR: ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMU","EUPV-UPeC","2"
"Don Francisco Porcar","0","senate","CASTELLÓN/CASTELLÓ","UNITAT POPULAR: ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMU","EUPV-UPeC","3"
"Doña Rosa María Romero","1","congress","CIUDAD REAL","PARTIDO POPULAR","PP","1"
"Doña María del Carmen Quintanilla","1","congress","CIUDAD REAL","PARTIDO POPULAR","PP","2"
"Don José Alberto Martín Toledano","0","congress","CIUDAD REAL","PARTIDO POPULAR","PP","3"
"Don Santiago Lucas Torres López","0","congress","CIUDAD REAL","PARTIDO POPULAR","PP","4"
"Doña Elena Arroyo","1","congress","CIUDAD REAL","PARTIDO POPULAR","PP","5"
"Doña Isabel Rodríguez","1","congress","CIUDAD REAL","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Don José María Barreda","0","congress","CIUDAD REAL","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Doña Gema María García","1","congress","CIUDAD REAL","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Don Emiliano Almansa","0","congress","CIUDAD REAL","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","4"
"Doña Manuela Castaño","1","congress","CIUDAD REAL","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","5"
"Don Francisco Javier Fernández-Bravo","0","congress","CIUDAD REAL","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Don José María Becerra","0","congress","CIUDAD REAL","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Don Gonzalo Acero","0","congress","CIUDAD REAL","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Doña Amparo Molinillo","1","congress","CIUDAD REAL","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","4"
"Doña María del Mar Claros","1","congress","CIUDAD REAL","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","5"
"Doña Juana Caro Marín","1","congress","CIUDAD REAL","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","1"
"Doña Beatriz Ocón Muela","1","congress","CIUDAD REAL","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","2"
"Don Pedro César Mellado Moreno","0","congress","CIUDAD REAL","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","3"
"Doña María Elena Gónzalez Cárdenas (UNIDAD POPULAR EN","1","congress","CIUDAD REAL","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","4"
"Don Jesús Manuel Manchón Sierra","0","congress","CIUDAD REAL","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","5"
"Don Juan Pablo Wert","0","congress","CIUDAD REAL","PODEMOS","PODEMOS","1"
"Doña María Teresa Arévalo","1","congress","CIUDAD REAL","PODEMOS","PODEMOS","2"
"Doña Ana Belén Jímenez","1","congress","CIUDAD REAL","PODEMOS","PODEMOS","3"
"Don José Antonio Férnandez","0","congress","CIUDAD REAL","PODEMOS","PODEMOS","4"
"Doña Ligia Mirian Pacheco","1","congress","CIUDAD REAL","PODEMOS","PODEMOS","5"
"Doña María Amparo Mesa","1","congress","CIUDAD REAL","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Don Juan Fernández","0","congress","CIUDAD REAL","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Doña Trinidad Maroto","1","congress","CIUDAD REAL","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Doña María Carmen Acosta","1","congress","CIUDAD REAL","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","4"
