"name","sex","election_type","district","party","initials","position"
"Julia de Micheo Carrillo Albornoz","","congress","ALICANTE/ALACANT","PARTIDO POPULAR","PP","9"
"Manuel Aracil Llorens","","congress","ALICANTE/ALACANT","PARTIDO POPULAR","PP","10"
"Juan José Berenguer Alcobendas","","congress","ALICANTE/ALACANT","PARTIDO POPULAR","PP","11"
"María Magdalena Martínez Martínez","","congress","ALICANTE/ALACANT","PARTIDO POPULAR","PP","12"
"Marta Martín Llaguno","","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"José Cano Fuster","","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Lucía Granados Alos","","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"María Guadalupe Sanchez Sanchez","","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","4"
"Juan Ignacio López-Bas Valero","","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","5"
"Gonzalo Espinosa Ortega","","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","6"
"Gustavo Antonio Ruiz Alonso","","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","7"
"Gema Sanchez Perez","","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","8"
"Natalia Puig Blas","","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","9"
"Juan Carlos Gomis Montero","","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","10"
"María Luisa Bone Campillo","","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","11"
"Ernesto Such Mora","","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","12"
"David Rodríguez Fernández","","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","1"
"Eli Aleix Pérez","","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","2"
"Vicente Selva Belen","","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","3"
"Lorena Gallardo Manchón","","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","4"
"Daniel Puerto García","","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","5"
"Ana María Tapia López","","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","6"
"Alberto Arranz Santander","","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","7"
"María Carmen Camús Donat","","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","8"
"Gerardo Romero Reyes","","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","9"
"Ana María Loaisa Orteiza","","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","10"
"Sergio Sánchez Martínez","","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","11"
"Trinidad Rubio Sala","","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","12"
