"name","sex","election_type","district","party","initials","position"
"Laida Cela Sedano","1","congress","BIZKAIA","PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA","PSOE) [PSE-EE","8"
"Leopoldo Barreda de los Ríos","0","congress","BIZKAIA","PARTIDO POPULAR","PP","1"
"Paula Garagalza Muñoz","1","congress","BIZKAIA","PARTIDO POPULAR","PP","2"
"Xabier Olabarrieta Arnaiz","0","congress","BIZKAIA","PARTIDO POPULAR","PP","3"
"Amaya Fernández Angulo","1","congress","BIZKAIA","PARTIDO POPULAR","PP","4"
"Jose Manuel de Insausti Montalvo","0","congress","BIZKAIA","PARTIDO POPULAR","PP","5"
"Josune López García","1","congress","BIZKAIA","PARTIDO POPULAR","PP","6"
"Jorge Panera Churruca","0","congress","BIZKAIA","PARTIDO POPULAR","PP","7"
"Beatriz Alvarez Fanjul","1","congress","BIZKAIA","PARTIDO POPULAR","PP","8"
"Henar Pascual Villanueva","1","congress","BIZKAIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Santiago Orozko García","0","congress","BIZKAIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Sergio Martin Rodríguez","0","congress","BIZKAIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Santiago Sainz Robles","0","congress","BIZKAIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","4"
"Catalina Sarralde Fernández","1","congress","BIZKAIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","5"
"Alejandro Garrido Padró","0","congress","BIZKAIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","6"
"Adelaida Suárez Pastor","1","congress","BIZKAIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","7"
"Alberto Joaquín Carril López","0","congress","BIZKAIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","8"
"Rubén Martín Rodríguez","0","congress","BIZKAIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Carmen Serrano Hospital","1","congress","BIZKAIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Víctor Ortega Portal","0","congress","BIZKAIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"María José García Varela","1","congress","BIZKAIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","4"
"Félix del Cura Gordejuela","0","congress","BIZKAIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","5"
"Patricia Peña Angulo","1","congress","BIZKAIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","6"
"Gregorio Dorao Fernández","0","congress","BIZKAIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","7"
"Katy Gutiérrez Muñoz","1","congress","BIZKAIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","8"
"Eduardo Maura Zorita","0","congress","BIZKAIA","PODEMOS/AHAL DUGU","PODEMOS-AHAL DUGU","1"
"Maria Rosa Martinez Rodríguez","1","congress","BIZKAIA","PODEMOS/AHAL DUGU","PODEMOS-AHAL DUGU","2"
"José David Carracedo Verde","0","congress","BIZKAIA","PODEMOS/AHAL DUGU","PODEMOS-AHAL DUGU","3"
"Maria Carmen Iglesias Camarero","1","congress","BIZKAIA","PODEMOS/AHAL DUGU","PODEMOS-AHAL DUGU","4"
"Christian Bolaños Rodríguez","0","congress","BIZKAIA","PODEMOS/AHAL DUGU","PODEMOS-AHAL DUGU","5"
"Maria Jesús Ferreiro Parada","1","congress","BIZKAIA","PODEMOS/AHAL DUGU","PODEMOS-AHAL DUGU","6"
"Raimundo Rubio Carcedo","0","congress","BIZKAIA","PODEMOS/AHAL DUGU","PODEMOS-AHAL DUGU","7"
"Eneritz de Madariaga Martín","1","congress","BIZKAIA","PODEMOS/AHAL DUGU","PODEMOS-AHAL DUGU","8"
"Iñigo Martinez Zaton","0","congress","BIZKAIA","UNIDAD POPULAR-ORAIN BATERA: EZKER ANITZA-IZQUIERDA UNIDA-UNIDAD POPULAR EN COMUN","IU-UpeC","1"
"Irene Euba Arroyo","1","congress","BIZKAIA","UNIDAD POPULAR-ORAIN BATERA: EZKER ANITZA-IZQUIERDA UNIDA-UNIDAD POPULAR EN COMUN","IU-UpeC","2"
"Andoni Basterra Urrutia","0","congress","BIZKAIA","UNIDAD POPULAR-ORAIN BATERA: EZKER ANITZA-IZQUIERDA UNIDA-UNIDAD POPULAR EN COMUN","IU-UpeC","3"
"Eva Maria González Pedraza","1","congress","BIZKAIA","UNIDAD POPULAR-ORAIN BATERA: EZKER ANITZA-IZQUIERDA UNIDA-UNIDAD POPULAR EN COMUN","IU-UpeC","4"
"['Andoni Perez Ayala ']","0","congress","BIZKAIA","Independiente","IU-UpeC","5"
"Zoe Angulo Crespo","1","congress","BIZKAIA","Independiente","IU-UpeC","6"
"Enrique Olaso García","0","congress","BIZKAIA","Independiente","IU-UpeC","7"
"Amaia Arenal Vidorreta","1","congress","BIZKAIA","Independiente","IU-UpeC","8"
"Jose Maria Cazalis Eiguren","0","senate","BIZKAIA","EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO","EAJ-PNV)","1"
"Nerea Ahedo Ceza","1","senate","BIZKAIA","EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO","EAJ-PNV)","2"
"Maria Dolores Etxano Varela","1","senate","BIZKAIA","EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO","EAJ-PNV)","3"
"Isabel Celaa Dieguez","1","senate","BIZKAIA","PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA","PSOE)","1"
"Ignacio Rodriguez Puertas","0","senate","BIZKAIA","PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA","PSOE)","2"
"Isabel Cadaval Vélez de Mendizabal","1","senate","BIZKAIA","PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA","PSOE)","3"
"Raquel Gonzalez Diez-Andino","1","senate","BIZKAIA","PARTIDO POPULAR","PP","1"
"Angel Rodrigo Izquierdo","0","senate","BIZKAIA","PARTIDO POPULAR","PP","2"
"Victor Rodriguez Garcia","0","senate","BIZKAIA","PARTIDO POPULAR","PP","3"
"Fernando Velayos Lopez","0","senate","BIZKAIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Maria Magdalena San Vicente de Latorre","1","senate","BIZKAIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Laura Ibarra Olsen","1","senate","BIZKAIA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Tomás Tueros Trueba","0","senate","BIZKAIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Javier Gabilondo Zubizarreta","0","senate","BIZKAIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Ascensión Viguri Axpe","1","senate","BIZKAIA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Miren Gorrotxategi Azurmendi","1","senate","BIZKAIA","PODEMOS/AHAL DUGU","PODEMOS-AHAL DUGU","1"
"Luis Prudencio Alejos Escarpe","0","senate","BIZKAIA","PODEMOS/AHAL DUGU","PODEMOS-AHAL DUGU","2"
"Eva M.ª Carbonero Alor","1","senate","BIZKAIA","PODEMOS/AHAL DUGU","PODEMOS-AHAL DUGU","3"
"Xabier Jimenez Lopez","0","senate","BIZKAIA","UNIDAD POPULAR-ORAIN BATERA:EZKER ANITZA-IZQUIERDA UNIDA-UNIDAD POPULAR EN COMUN","IU-UpeC","1"
"Naiara Lopez Larrinaga","1","senate","BIZKAIA","UNIDAD POPULAR-ORAIN BATERA:EZKER ANITZA-IZQUIERDA UNIDA-UNIDAD POPULAR EN COMUN","IU-UpeC","2"
"Angel Bao Perez","0","senate","BIZKAIA","UNIDAD POPULAR-ORAIN BATERA:EZKER ANITZA-IZQUIERDA UNIDA-UNIDAD POPULAR EN COMUN","IU-UpeC","3"
"Jaime Miguel Mateu Istúriz","0","congress","BURGOS","PARTIDO POPULAR","PP","1"
"María Sandra Moneo Díez","1","congress","BURGOS","PARTIDO POPULAR","PP","2"
"Daniel Herrero de la Cal","0","congress","BURGOS","PARTIDO POPULAR","PP","3"
"Mónica Raquel Pérez Serna","1","congress","BURGOS","PARTIDO POPULAR","PP","4"
"Rodrigo Ibeas Puente","0","congress","BURGOS","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Elia Salinero Ontoso","1","congress","BURGOS","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Gerardo Velasco Carús","0","congress","BURGOS","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Teresa Hontoria Jiménez","1","congress","BURGOS","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","4"
"Esther Peña Camarero","1","congress","BURGOS","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Agustín Javier Zamarrón Moreno","0","congress","BURGOS","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"María del Mar Alcalde Golás","1","congress","BURGOS","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Pedro Luis de la Fuente Fernández","0","congress","BURGOS","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","4"
"Miguel Vila Gómez","0","congress","BURGOS","PODEMOS","PODEMOS","1"
"Ana Isabel Hernández Ortega","1","congress","BURGOS","PODEMOS","PODEMOS","2"
"Israel Hernando Redondo","0","congress","BURGOS","PODEMOS","PODEMOS","3"
"Ana María Iglesias Arribas","1","congress","BURGOS","PODEMOS","PODEMOS","4"
"Miguel Ángel del Hoyo Abia","0","congress","BURGOS","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Ana María Sánchez Gómez","1","congress","BURGOS","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Yolanda Díez Nebreda","1","congress","BURGOS","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Agustín Delgado Bulnes","0","congress","BURGOS","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","4"
"Juan Manuel Alonso Poza","0","congress","BURGOS","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","1"
"María Concepción Ortega Alonso","1","congress","BURGOS","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","2"
"Manuel Capilla Ibáñez","0","congress","BURGOS","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","3"
"Gloria Díez Herrera","1","congress","BURGOS","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","4"
"María Begoña Contreras Olmedo","1","senate","BURGOS","PARTIDO POPULAR","PP","1"
"Arturo Pascual Madina","0","senate","BURGOS","PARTIDO POPULAR","PP","2"
"Cristina Ayala Santamaría","1","senate","BURGOS","PARTIDO POPULAR","PP","3"
"Javier Batallé Sáiz","0","senate","BURGOS","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Julián Ruiz Navazo","0","senate","BURGOS","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Mercedes López Ruiz","1","senate","BURGOS","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Ignacio Lacámara González","0","senate","BURGOS","PODEMOS","PODEMOS","1"
"Cristina Ferreras Pineda","1","senate","BURGOS","PODEMOS","PODEMOS","2"
"Andrés Gonzalo Serrano","0","senate","BURGOS","PODEMOS","PODEMOS","3"
"Juan Antonio Jorde González","0","senate","BURGOS","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Rebeca Corralejo Palacios","1","senate","BURGOS","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Sergio Carpio Mateos","0","senate","BURGOS","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Jorge García Velasco","0","senate","BURGOS","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","1"
"Eva María Peláez Bartolomé","1","senate","BURGOS","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","2"
"Luis Delgado Mariscal","0","senate","BURGOS","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN","IU-UPeC","3"
"Carlos Javier Floriano Corrales","0","congress","CÁCERES","PARTIDO POPULAR","PP","1"
"María Dolores Marcos Moyano","1","congress","CÁCERES","PARTIDO POPULAR","PP","2"
"María Almudena Domingo Pirrongelli","1","congress","CÁCERES","PARTIDO POPULAR","PP","3"
"Pedro Caselles Medina","0","congress","CÁCERES","PARTIDO POPULAR","PP","4"
"María del Pilar Lucio Carrasco","1","congress","CÁCERES","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"César Joaquín Ramos Estéban","0","congress","CÁCERES","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Leire Iglesias Santiago","1","congress","CÁCERES","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"José García Serrano","0","congress","CÁCERES","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","4"
"Cecilio Serrano Lorente","0","congress","CÁCERES","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"María del Carmen Gómez Ariño","1","congress","CÁCERES","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Gema del Carmen Fuentes Calle","1","congress","CÁCERES","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Julián Burgos Mora","0","congress","CÁCERES","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","4"
"Pablo Rodríguez García","0","congress","CÁCERES","PODEMOS","PODEMOS","1"
"Rosa María Mogollón Calvo","1","congress","CÁCERES","PODEMOS","PODEMOS","2"
"Amaia Sánchez Jacinto","1","congress","CÁCERES","PODEMOS","PODEMOS","3"
"Julio Antonio Iglesias Vicente","0","congress","CÁCERES","PODEMOS","PODEMOS","4"
"Raúl Martín Fernández","0","congress","CÁCERES","UNIDAD POPULAR: IZQUIERDA UNIDA-UNIDAD POPULAR EN COMÚN","IU-UPeC","1"
"María Aranzazu Bonilla Felipe","1","congress","CÁCERES","UNIDAD POPULAR: IZQUIERDA UNIDA-UNIDAD POPULAR EN COMÚN","IU-UPeC","2"
"Fernando Óscar Graña Soule","0","congress","CÁCERES","UNIDAD POPULAR: IZQUIERDA UNIDA-UNIDAD POPULAR EN COMÚN","IU-UPeC","3"
"María Luisa Rebolledo Acedo","1","congress","CÁCERES","UNIDAD POPULAR: IZQUIERDA UNIDA-UNIDAD POPULAR EN COMÚN","IU-UPeC","4"
"Jesús Fernández Oltra","0","congress","CÁCERES","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Antonia Cambero Martínez","1","congress","CÁCERES","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"José Miguel Martín Durán","0","congress","CÁCERES","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"María Isabel Nieto Almeida","1","congress","CÁCERES","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","4"
"Laureano León Rodríguez","0","senate","CÁCERES","PARTIDO POPULAR","PP","1"
"Amparo Monroy Sánchez","1","senate","CÁCERES","PARTIDO POPULAR","PP","2"
"Rafael Mateos Yuste","0","senate","CÁCERES","PARTIDO POPULAR","PP","3"
"Juan Andrés Tovar Mena","0","senate","CÁCERES","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"María Luisa Gómez Blázquez","1","senate","CÁCERES","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"José Antonio Rodríguez Calzada","0","senate","CÁCERES","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"José Luis Escaso Isla","0","senate","CÁCERES","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Francisco Cabanillas Dómine","0","senate","CÁCERES","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Laura Sierra Torres","1","senate","CÁCERES","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"María Rosario Ávila Caballero","1","senate","CÁCERES","PODEMOS","PODEMOS","1"
"Lorenzo Carlos Clemente Muñoz","0","senate","CÁCERES","PODEMOS","PODEMOS","2"
"Ricardo Carrasco Pérez","0","senate","CÁCERES","PODEMOS","PODEMOS","3"
"María del Carmen Muñoz Donoso","1","senate","CÁCERES","UNIDAD POPULAR: IZQUIERDA UNIDA-UNIDAD POPULAR EN COMÚN","IU-UPeC","1"
"José Manuel Méndez Franco","0","senate","CÁCERES","UNIDAD POPULAR: IZQUIERDA UNIDA-UNIDAD POPULAR EN COMÚN","IU-UPeC","2"
"Carlos Luengo González","0","senate","CÁCERES","UNIDAD POPULAR: IZQUIERDA UNIDA-UNIDAD POPULAR EN COMÚN","IU-UPeC","3"
"Juan Fernando Gómez Rodríguez","0","senate","CÁCERES","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Rocío Segador Gil","1","senate","CÁCERES","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Faustino Climent Sánchez","0","senate","CÁCERES","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Salvador Antonio de la Encina Ortega","0","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Miriam Alconchel Gonzaga","1","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Juan Carlos Campo Moreno","0","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Eva María Foncubierta Cubillana","1","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","4"
"Francisco Javier Vidal Bernal","0","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","5"
"Carmen Gloria Jiménez Guerrero","1","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","6"
"Jesús Alba Manzanares","0","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","7"
"María Leonor Varela Rodríguez","1","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","8"
"Juan Antonio Palacios Escobar","0","congress","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","9"
"Francisco Javier Cano Leal","0","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"María Toledo Ronchel","1","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Agustín Paloma Martín","0","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Ana María Castillo López","1","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","4"
"Ernesto Navarro Alonso","0","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","5"
"Juan Francisco Andrades Heredia","0","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","6"
"Elena María Sumariva Gallego","1","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","7"
"Nicolás Fuentes Sanzo","0","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","8"
"María del Carmen Márquez Delgado","1","congress","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","9"
"Teófila Martínez Saiz","1","congress","CÁDIZ","PARTIDO POPULAR","PP","1"
"María José García-Pelayo Jurado","1","congress","CÁDIZ","PARTIDO POPULAR","PP","2"
"Alfonso Candón Adan","0","congress","CÁDIZ","PARTIDO POPULAR","PP","3"
"Andrés Núñez Jiménez","0","congress","CÁDIZ","PARTIDO POPULAR","PP","4"
"Bruno María García de León","0","congress","CÁDIZ","PARTIDO POPULAR","PP","5"
"Inmaculada Gil López","1","congress","CÁDIZ","PARTIDO POPULAR","PP","6"
"Juan Antonio Liaño Pazos","0","congress","CÁDIZ","PARTIDO POPULAR","PP","7"
"Ignacio Macías Fernández","0","congress","CÁDIZ","PARTIDO POPULAR","PP","8"
"María Caridad Salazar Merino","1","congress","CÁDIZ","PARTIDO POPULAR","PP","9"
"Francisco José Pozo Gago","0","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Hugo Cañellas Ávila","0","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Noelia Guerrero Hidalgo","1","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"José Francisco Carrasco Gallego","0","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","4"
"Yaiza Umpiérrez Trujillo","1","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","5"
"Roque Ortega Plazuelo","0","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","6"
"Adelaida Arcila García de Quirós","1","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","7"
"Miguel Mena Muñoz","0","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","8"
"Isabel María Meléndez Béjar","1","congress","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","9"
"Noelia Vera Ruíz-Herrera","1","congress","CÁDIZ","PODEMOS","PODEMOS","1"
"Juan Antonio Delgado Ramos","0","congress","CÁDIZ","PODEMOS","PODEMOS","2"
"Manuela Blanco Moreno","1","congress","CÁDIZ","PODEMOS","PODEMOS","3"
"Juan Molina Gómez","0","congress","CÁDIZ","PODEMOS","PODEMOS","4"
"Inmaculada Morillo Chía","1","congress","CÁDIZ","PODEMOS","PODEMOS","5"
"Miguel Ángel Pacheco Cabello","0","congress","CÁDIZ","PODEMOS","PODEMOS","6"
"Inmaculada Concepción Rodríguez López","1","congress","CÁDIZ","PODEMOS","PODEMOS","7"
"María Luisa Blanco Morales","1","congress","CÁDIZ","PODEMOS","PODEMOS","8"
"Álvaro Bernalte Benazet","0","congress","CÁDIZ","PODEMOS","PODEMOS","9"
"Santiago Gutiérrez Ruiz","0","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","1"
"Ana Fernández de Cosa","1","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","2"
"Ernesto Alba Aragón","0","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","3"
"María José Grimaldi González","1","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","4"
"José Carlos Luque León","0","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","5"
"Laura Castilla Sánchez","1","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","6"
"Juan Antonio Ariza Barrientos","0","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","7"
"Sandra Haro Márquez","1","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","8"
"Joaquín Santander Martín-Arroyo","0","congress","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","9"
"Francisco González Cabaña","0","senate","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"María Dolores Naval Zarazaga","1","senate","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Francisco Manuel Lara Fernández","0","senate","CÁDIZ","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"María Jesús García Tovar","1","senate","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Carlos Pérez González","0","senate","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Francisco López García","0","senate","CÁDIZ","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"José Ignacio Landaluce Calleja","0","senate","CÁDIZ","PARTIDO POPULAR","PP","1"
"María José de Alba Castiñeiras","1","senate","CÁDIZ","PARTIDO POPULAR","PP","2"
"José Ortiz Galván","0","senate","CÁDIZ","PARTIDO POPULAR","PP","3"
"Manuel Villalpando Chanivet","0","senate","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Amalia García López","1","senate","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"María del Carmen Pérez Cortejosa","1","senate","CÁDIZ","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"María Emma Martín Díaz","1","senate","CÁDIZ","PODEMOS","PODEMOS","1"
"Mercedes Gema Jiménez Álvarez","1","senate","CÁDIZ","PODEMOS","PODEMOS","2"
"Anton Gilen Haidl Dietlmeier","0","senate","CÁDIZ","PODEMOS","PODEMOS","3"
"Gonzalo Álias Gurría","0","senate","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","1"
"Isabel María Fernández Orihuela","1","senate","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","2"
"Pedro Jesús Carrero González","0","senate","CÁDIZ","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA, UPeC","3"
"Ana María Madrazo Díaz","1","congress","CANTABRIA","PARTIDO POPULAR","PP","1"
"José María Lassalle Ruiz","0","congress","CANTABRIA","PARTIDO POPULAR","PP","2"
"Diego Movellán Lombilla","0","congress","CANTABRIA","PARTIDO POPULAR","PP","3"
"Javier Fernández Soberón","0","congress","CANTABRIA","PARTIDO POPULAR","PP","4"
"Natividad Fernández Gómez","1","congress","CANTABRIA","PARTIDO POPULAR","PP","5"
"María del Puerto Gallego Arriola","1","congress","CANTABRIA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Ricardo Cortés Lastra","0","congress","CANTABRIA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Zoraida Hijosa Valdizán","1","congress","CANTABRIA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
