"name", "sex", "election_type", "party", "initials", "position", "account"
"Salvador Antonio de la Encina Ortega", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "1", "https://mobile.twitter.com/ERIKEO5555"
"Miriam Alconchel Gonzaga", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "2", "https://twitter.com/PedroSCadiz"
"Juan Carlos Campo Moreno", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "3", "https://twitter.com/1uanCarlos"
"Eva María Foncubierta Cubillana", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "4", "https://twitter.com/mirodf20"
"Francisco Javier Vidal Bernal", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "5", "https://twitter.com/yosoydreik"
"Carmen Gloria Jiménez Guerrero", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "6", "https://twitter.com/SANFDOCOFRADE"
"Jesús Alba Manzanares", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "7", "https://twitter.com/Jesusdealba"
"María Leonor Varela Rodríguez", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "8", "https://twitter.com/Teck85"
"Juan Antonio Palacios Escobar", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "9", "https://twitter.com/josedavidcuenca"
"Francisco Javier Cano Leal", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANIA", "C's", "1", "https://twitter.com/puchiperxa"
"María Toledo Ronchel", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANIA", "C's", "2", "https://twitter.com/ReyesKuki"
"Agustín Paloma Martín", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANIA", "C's", "3", "https://twitter.com/lagartoIM73"
"Ana María Castillo López", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANIA", "C's", "4", "https://twitter.com/AnaCastano_"
"Ernesto Navarro Alonso", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANIA", "C's", "5", "https://twitter.com/Ernavarr"
"Juan Francisco Andrades Heredia", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANIA", "C's", "6", "https://twitter.com/aaroheredia"
"Elena María Sumariva Gallego", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANIA", "C's", "7", "https://twitter.com/esumariva_cs"
"Nicolás Fuentes Sanzo", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANIA", "C's", "8", "https://twitter.com/nicofuentesv"
"María del Carmen Márquez Delgado", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANIA", "C's", "9", "https://twitter.com/Carmen_CDBAD"
"Teófila Martínez Saiz", "1", "congress", "PARTIDO POPULAR", "PP", "1", "https://twitter.com/teofilamartinez"
"María José García-Pelayo Jurado", "1", "congress", "PARTIDO POPULAR", "PP", "2", "https://twitter.com/josejurado97"
"Alfonso Candón Adan", "0", "congress", "PARTIDO POPULAR", "PP", "3", "https://twitter.com/ppcadiz"
"Andrés Nuñez Jiménez", "", "congress", "PARTIDO POPULAR", "PP", "4", "https://twitter.com/andresnuji"
"Bruno María García de León", "0", "congress", "PARTIDO POPULAR", "PP", "5", "https://twitter.com/brunoymaria"
"Inmaculada Gil López", "1", "congress", "PARTIDO POPULAR", "PP", "6", "https://twitter.com/flopezgil"
"Juan Antonio Liaño Pazos", "0", "congress", "PARTIDO POPULAR", "PP", "7", "https://twitter.com/campe_betis88"
"Ignacio Macias Fernández", "", "congress", "PARTIDO POPULAR", "PP", "8", "https://twitter.com/maciasalcalde"
"María Caridad Salazar Merino", "1", "congress", "PARTIDO POPULAR", "PP", "9", "https://twitter.com/Alena_DS"
"Francisco José Pozo Gago", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "1", "https://twitter.com/mantekillo1973"
"Hugo Cañellas Ávila", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "2", "https://twitter.com/HugoCanellas"
"Noelia Guerrero Hidalgo", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "3", "https://twitter.com/libertad_paloma"
"José Francisco Carrasco Gallego", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "4", "https://twitter.com/_EnriqueGallego"
"Yaiza Umpiérrez Trujillo", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "5", "https://twitter.com/Alorateresa"
"Roque Ortega Plazuelo", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "6", "https://twitter.com/Raul_Q_O"
"Adelaida Arcila García de Quirós", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "7", "No result found for Adelaida Arcila García de Quirós of UPyD in CÁDIZ"
"Miguel Mena Muñoz", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "8", "https://twitter.com/Migueli9"
"Isabel María Meléndez Béjar", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "9", "No result found for Isabel María Meléndez Béjar of UPyD in CÁDIZ"
"Noelia Vera Ruíz-Herrera", "1", "congress", "PODEMOS", "PODEMOS", "1", "https://twitter.com/VeraNoelia"
"Juan Antonio Delgado Ramos", "0", "congress", "PODEMOS", "PODEMOS", "2", "https://twitter.com/AntonioDeCe91"
"Manuela Blanco Moreno", "1", "congress", "PODEMOS", "PODEMOS", "3", "https://twitter.com/ea7zz"
"Juan Molina Gómez", "0", "congress", "PODEMOS", "PODEMOS", "4", "https://twitter.com/jmolinagomez"
"Inmaculada Morillo Chía", "1", "congress", "PODEMOS", "PODEMOS", "5", "https://twitter.com/SerLaJanda"
"Miguel Ángel Pacheco Cabello", "0", "congress", "PODEMOS", "PODEMOS", "6", "https://twitter.com/IbePacheco"
"Inmaculada Concepción Rodríguez López", "1", "congress", "PODEMOS", "PODEMOS", "7", "No result found for Inmaculada Concepción Rodríguez López of PODEMOS in CÁDIZ"
"María Luisa Blanco Morales", "1", "congress", "PODEMOS", "PODEMOS", "8", "https://twitter.com/maria_hb18"
"Álvaro Bernalte Benazet", "0", "congress", "PODEMOS", "PODEMOS", "9", "No result found for Álvaro Bernalte Benazet of PODEMOS in CÁDIZ"
"Santiago Gutiérrez Ruiz", "0", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "1", "https://twitter.com/SantiagoGutRuiz"
"Ana Fernández de Cosa", "1", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "2", "https://twitter.com/AnaFdeCo"
"Ernesto Alba Aragón", "0", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "3", "https://twitter.com/Ernesto_Alba"
"María José Grimaldi González", "1", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "4", "https://twitter.com/JM_Kichi"
"José Carlos Luque León", "0", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "5", "https://twitter.com/JoseCAR_Luque"
"Laura Castilla Sánchez", "1", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "6", "https://twitter.com/laurasanchezsan"
"Juan Antonio Ariza Barrientos", "0", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "7", "https://twitter.com/UP_Cadiz"
"Sandra Haro Márquez", "1", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "8", "https://twitter.com/sandratena2"
"Joaquín Santander Martín-Arroyo", "0", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "9", "https://twitter.com/UP_Cadiz"
"Rosa María Romero Sánchez", "1", "congress", "PARTIDO POPULAR", "PP", "1", "https://twitter.com/TomaLaPalabraVA"
"María del Carmen Quintanilla Barba", "1", "congress", "PARTIDO POPULAR", "PP", "2", "No result found for María del Carmen Quintanilla Barba of PP in CIUDAD REAL"
"José Alberto Martín Toledano Suárez", "0", "congress", "PARTIDO POPULAR", "PP", "3", "No result found for José Alberto Martín Toledano Suárez of PP in CIUDAD REAL"
"Santiago Lucas Torres López Casero", "0", "congress", "PARTIDO POPULAR", "PP", "4", "No result found for Santiago Lucas Torres López Casero of PP in CIUDAD REAL"
"Elena Arroyo Villuendas", "1", "congress", "PARTIDO POPULAR", "PP", "5", "https://twitter.com/LecabinetdElena"
"Isabel Rodríguez García", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "1", "https://twitter.com/isabelrguez"
"José María Barreda Fontes", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "2", "https://twitter.com/crpsoe"
"Gema María García Ríos", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "3", "https://twitter.com/boticariagarcia"
"Emiliano Almansa Rodríguez", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "4", "https://twitter.com/emilianorod75"
"Manuela Castaño Serrano", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "5", "https://twitter.com/CRealTurismo"
"Francisco Javier Fernández-Bravo García", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "1", "https://twitter.com/fjcabo"
"José María Becerra Ponce", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "2", "https://twitter.com/jmbecerraponce"
"Gonzalo Acero Naranjo", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "3", "https://mobile.twitter.com/rialjorge"
"Amparo Molinillo Linares", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "4", "https://twitter.com/WaterpoloValdep"
"María del Mar Claros Ruiz", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "5", "https://twitter.com/DRZRZ"
"Juana Caro Marín (IU)", "", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN", "IU-UPeC", "1", "https://twitter.com/JuankMrt"
"Beatriz Ocón Muela (IU)", "", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN", "IU-UPeC", "2", "https://twitter.com/pedromellado"
"Pedro César Mellado Moreno (IU)", "", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN", "IU-UPeC", "3", "No result found for Pedro César Mellado Moreno (IU) of UNIDAD POPULAR EN COMÚN in CIUDAD REAL"
"María Elena Gónzalez Cárdenas ", "1", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN", "IU-UPeC", "4", "https://twitter.com/jspcr"
"Jesús Manuel Manchón Sierra (IU)", "", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN", "IU-UPeC", "5", "No result found for Jesús Manuel Manchón Sierra (IU) of UNIDAD POPULAR EN COMÚN in CIUDAD REAL"
"Juan Pablo Wert Ortega", "0", "congress", "PODEMOS", "PODEMOS", "1", "https://twitter.com/Bregithil"
"María Teresa Arévalo Caraballo", "1", "congress", "PODEMOS", "PODEMOS", "2", "https://twitter.com/meriicendrero"
"Ana Belén Jímenez Cuadra", "1", "congress", "PODEMOS", "PODEMOS", "3", "https://twitter.com/ABPG_"
"José Antonio Férnandez Vera", "0", "congress", "PODEMOS", "PODEMOS", "4", "https://twitter.com/JoseRon3"
"Ligia Mirian Pacheco Guevara", "1", "congress", "PODEMOS", "PODEMOS", "5", "No result found for Ligia Mirian Pacheco Guevara of PODEMOS in CIUDAD REAL"
"María Amparo Mesa Cumplido", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "1", "https://twitter.com/mbego73"
"Juan Fernández Fernández", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "2", "https://twitter.com/juanfeer7"
"Trinidad Maroto Mojonero", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "3", "https://twitter.com/Dios_Es_Justo"
"María Carmen Acosta Torres", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "4", "https://twitter.com/DelMdcld"
"Carlos Álvaro Rodríguez", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "5", "https://twitter.com/Jamesdrodriguez"
"María Jesús Serrano Jiménez", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "1", "https://twitter.com/Mjesusserranoj"
"Antonio Hurtado Zurera", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "2", "https://twitter.com/AntonioHurtado"
"Inmaculada Durán Sánchez", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "3", "https://twitter.com/InmaculadaDuran"
"Manuel Torres Aguilar", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "4", "https://twitter.com/meigul"
"Rosa Ana González Moreno", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "5", "https://twitter.com/marisolglzz"
"Antonio Luis Amaro López", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "6", "https://twitter.com/AntLopezCuenca"
"José Antonio Nieto Ballesteros", "0", "congress", "PARTIDO POPULAR", "PP", "1", "https://twitter.com/nieto_alcalde/"
"Rafael Merino López", "0", "congress", "PARTIDO POPULAR", "PP", "2", "https://twitter.com/RafaMerino1"
"María Luisa Ceballos Casas", "1", "congress", "PARTIDO POPULAR", "PP", "3", "https://twitter.com/MLuisaCeballos"
"Isabel Cabezas Regaño", "1", "congress", "PARTIDO POPULAR", "PP", "4", "https://twitter.com/Isabel_Arroyo"
"Manuel Torres Fernández", "0", "congress", "PARTIDO POPULAR", "PP", "5", "https://twitter.com/miguel_layun"
"María Isabel Medina Murillo", "1", "congress", "PARTIDO POPULAR", "PP", "6", "https://twitter.com/marisamedinavva"
"Marcial Gómez Balsera", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "1", "https://twitter.com/marcialgobal"
"María Carmen Otero Uribe", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "2", "https://twitter.com/mauuribe"
"Jesús Mateo Lupiáñez Noguerol", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "3", "https://twitter.com/josema00cordoba"
"Antonio Salido Carrasco", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "4", "https://twitter.com/jasalido"
"María del Carmen Bernal Torres", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "5", "https://twitter.com/mdc_24"
"María Isabel Albas Vives", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "6", "https://twitter.com/isabelalbas"
"Francisco Javier Camino Revuelto", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "1", "https://twitter.com/JavierMonteroPr"
"María Dolores Alcaide Arranz", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "2", "https://twitter.com/gomezrio"
"José María Castellano Martínez", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "3", "https://twitter.com/josemarimayoral"
"Belén María Solís Valle", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "4", "https://twitter.com/martitasolis732"
"Juan Carlos Alamillo Tinahones", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "5", "https://twitter.com/korki56"
"Josefa Tamarit Barrero", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "6", "https://twitter.com/SanJosObrero"
"Antonia Parrado Rojas", "1", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "1", "https://twitter.com/MailloAntonio"
"Francisco Cañasveras Garrido", "0", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "2", "https://twitter.com/Frankgarri2270"
"Aurora Rubio Herrador", "1", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "3", "https://twitter.com/auroperezrubio"
"Juan Balsera Santos", "0", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "4", "https://twitter.com/transitoCordoba"
"María Dolores Blanco Ortiz", "1", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "5", "https://twitter.com/marydel91"
"Pascual Campos Migueles", "0", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "6", "https://twitter.com/golfcordoba"
"Marta Domínguez Álvarez", "1", "congress", "PODEMOS", "PODEMOS", "1", "https://twitter.com/Marta_dr92"
"Francisco José Ruiz León", "0", "congress", "PODEMOS", "PODEMOS", "2", "https://twitter.com/DaniLeonDJ"
"Susana Falcón Tornu", "1", "congress", "PODEMOS", "PODEMOS", "3", "https://twitter.com/astonejorge"
"José Larios Martón", "0", "congress", "PODEMOS", "PODEMOS", "4", "No result found for José Larios Martón of PODEMOS in CÓRDOBA"
"María Antonia Pérez Reina", "1", "congress", "PODEMOS", "PODEMOS", "5", "https://twitter.com/trimariapujol"
"Juan Antonio Alcántara Guerrero", "", "congress", "PODEMOS", "PODEMOS", "6", "https://twitter.com/JuanCamoletto"
"Miguel Lorenzo Torres", "0", "congress", "PARTIDO POPULAR", "PP", "1", "https://twitter.com/gmppco"
"Marta González Vázquez", "", "congress", "PARTIDO POPULAR", "PP", "2", "https://twitter.com/mlouror"
"Juan Manuel Juncal Rodríguez", "0", "congress", "PARTIDO POPULAR", "PP", "3", "https://twitter.com/miguelrofer"
"Tristana María Moraleja Gómez", "", "congress", "PARTIDO POPULAR", "PP", "4", "https://twitter.com/ppoleiros"
"Juan de Dios Ruano Gómez", "0", "congress", "PARTIDO POPULAR", "PP", "5", "No result found for Juan de Dios Ruano Gómez of PP in CORUÑA (A)"
"Margarita Varela Lema", "", "congress", "PARTIDO POPULAR", "PP", "6", "https://twitter.com/carlosvlema"
"Marcos López Balado", "0", "congress", "PARTIDO POPULAR", "PP", "7", "https://twitter.com/MarcCuba"
"Silvia María Vázquez Cardelle", "", "congress", "PARTIDO POPULAR", "PP", "8", "https://twitter.com/ObservIgualdad"
"María Isabel Fernández Durán", "", "congress", "PARTIDO POPULAR", "PP", "1", "https://twitter.com/jf_diez"
"Miguel Ángel Fernández Mirás", "", "congress", "PARTIDO POPULAR", "PP", "2", "https://twitter.com/miguelangeleonc"
"María Oliva Agra Costoya", "", "congress", "PARTIDO POPULAR", "PP", "3", "No result found for María Oliva Agra Costoya of PP in CORUÑA (A)"
"Pilar Cancela Rodríguez", "", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "1", "https://twitter.com/PiliCancela"
"Ricardo Antonio García Mira", "0", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "2", "https://twitter.com/marihuanito007"
"Gloria María del Valle Rodríguez", "", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "3", "https://twitter.com/glorialaya"
"Diego Fernández López", "0", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "4", "https://twitter.com/diegolopez25_"
"Obdulia Taboadela Álvarez", "", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "5", "No result found for Obdulia Taboadela Álvarez of PSdeG-PSOE in CORUÑA (A)"
"Gonzalo Diz Álvarez", "0", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "6", "https://twitter.com/godial"
"Susana Lebón Rivas", "", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "7", "No result found for Susana Lebón Rivas of PSdeG-PSOE in CORUÑA (A)"
"José Antonio Viña Patiño", "0", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "8", "No result found for José Antonio Viña Patiño of PSdeG-PSOE in CORUÑA (A)"
"Verónica Gómez Fuentes", "", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "1", "https://twitter.com/juarezvero"
"Alberto Cortizas Rejo", "", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "2", "https://twitter.com/alberto_gm17"
"María del Carmen Vergara Rey", "", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "3", "No result found for María del Carmen Vergara Rey of PSdeG-PSOE in CORUÑA (A)"
"Delfín Feal Pereira", "", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "4", "https://twitter.com/DelfinFeal"
"Paula Mouzo Maceiras", "", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "5", "https://twitter.com/paula_maceiras"
"Marco Antonio Cobo García", "", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "6", "https://twitter.com/garcicoruna"
"María Montserrat Paz Romero", "", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "7", "https://twitter.com/JoaqunRomero"
"Manuel Pérez Requejo", "", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "8", "https://twitter.com/Mvfaraldo"
"Marina Bouza Couce", "", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "9", "https://twitter.com/Rios_Bouza"
"Daniel Castro Seijo", "", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "10", "https://twitter.com/seijodani"
"Antonio Rodríguez Vázquez", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "1", "https://twitter.com/antoniovv"
"Javier Jesús Ramón Chouza Gestoso", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "2", "No result found for Javier Jesús Ramón Chouza Gestoso of C's in CORUÑA (A)"
"María Concepción Belén Fernández Tenreiro", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "3", "No result found for María Concepción Belén Fernández Tenreiro of C's in CORUÑA (A)"
"José Antonio Fernández Sánchez", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "4", "https://twitter.com/mjsanchezrubio"
"Ana María Rodríguez Masafret", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "5", "https://twitter.com/MeriVarela"
"Teresa Mejuto Martí", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "6", "https://twitter.com/teresitaasoto"
"Jesús María Gutiérrez Rodríguez", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "7", "https://twitter.com/gtzm_al"
"María José García Hidalgo", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "8", "https://twitter.com/josechugijon"
"José Luis Calo González", "", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "1", "https://twitter.com/joseluisgonsan"
"Pablo Calvo Calvo", "", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "2", "https://twitter.com/pablincalvo"
"Elisa Pumar Porsch", "", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "3", "https://twitter.com/CubeDeco"
"José Miguel Iglesias Varela", "", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "4", "https://twitter.com/xiaovarela"
"María del Mar López Pérez", "", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "5", "https://twitter.com/maria_mov"
"José Antonio de Lorenzo Pardo", "", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "6", "https://twitter.com/ppcoruna"
"María del Carmen Arciniega García", "", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "7", "https://twitter.com/josechugijon"
"Yolanda Belén Cadaval Martínez", "", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "8", "No result found for Yolanda Belén Cadaval Martínez of C's in CORUÑA (A)"
"Carlos Oliva Castelló", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "1", "https://twitter.com/Cmartinez08"
"María Consuelo Amado Jove", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "2", "https://twitter.com/marianiembro"
"Benito Antonio Rey Seijo", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "3", "https://twitter.com/afafian"
"Mónica Delgado González", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "4", "https://twitter.com/mariagonzalezb_"
"Antonio Dueñas Fontán", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "5", "https://twitter.com/fbestilleiro"
"María del Mar Rodríguez Silva", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "6", "https://twitter.com/gabrieladelmarp"
"Jorge Benigni León", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "7", "https://twitter.com/jorgeari423"
"María Sagrario Cobo Pascua", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "8", "No result found for María Sagrario Cobo Pascua of UPyD in CORUÑA (A)"
"Antonio Gómez-Reino Varela", "", "congress", "EN MAREA", "PODEMOS-En Marea-ANOVA-EU", "1", "https://twitter.com/xiaovarela"
"Yolanda Díaz Pérez", "", "congress", "EN MAREA", "PODEMOS-En Marea-ANOVA-EU", "2", "https://twitter.com/Yolanda_Diaz_"
